Date,AUD,CAD,CHF,EUR,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,ZAR
20150616,0.13738365,0.012300376,-0.420477779,0.026749889,-0.692270155,0.107623721,-0.059890865,0.230234701,-0.158199418,0.15304629,0.057905046,-0.0284536,-0.976672618,0.205485855,-0.032841079,-0.049953685,-0.074129455,0.195408487
20150615,-0.627891007,0.314896801,0.428638178,0.01782849,-0.134027426,0.032412025,-0.155137923,0.179266159,0.205483657,0.213378011,-0.168737129,-0.062932716,-0.474088997,-0.264707749,-0.107805435,0.01253934,0.864436093,0.084612844
20150612,0.292934649,-0.146227066,-0.40675861,0.106951872,-0.182374579,0.140441351,-0.015525148,0.046994664,0.211671236,-0.929894545,0.362804323,-0.095705729,0.878103855,-0.453295768,0.047423456,-0.133340725,-0.768808968,-0.123952194
20150611,0.156564032,0.694941823,0.772775212,0.418447293,0.17029627,0.159838942,0.606700205,0.196806577,0.163644622,1.422747203,2.677846356,0.661797223,0.182761579,-0.716430476,0.199973615,0.331113097,-0.188555863,0.491872061
20150610,-0.504971213,-0.897890716,-0.065845872,-0.265981027,-1.215312184,-0.349440902,-0.887710724,-0.557573163,-0.367576848,-1.163564474,-0.430987994,-0.267945958,-2.403733851,-0.179612763,-0.449749948,-0.258095044,0.311190941,-0.534788579
20150609,-0.834506383,-0.701908026,-0.82078823,-0.77340208,-0.285269049,-0.130855939,-0.972082339,-0.250355992,-0.450311316,-1.324223797,-1.157074904,-0.199258286,0.04474558,-0.924872046,-0.570564986,-0.123193302,-1.117391906,-1.188073652
20150608,1.061812145,-0.530334102,0.424968703,0.501702204,0.515437574,0.422042179,0.408359193,0.689880532,1.245250209,0.712780309,0.904655633,0.430058845,-0.290822762,0.782496324,0.787482735,0.143042715,3.748788873,1.467522941
20150605,0.302805034,0.409925563,0.184526814,0.882510251,0.37494255,-0.024227268,0.523421086,0.306231392,0.639141165,1.708091055,0.111587949,0.308479035,1.921850246,0.905193586,0.226353066,-0.021364903,-0.70493551,0.52197043
20150604,0.423305853,0.037353878,-0.447046148,-1.617036317,-0.548685234,0.389724096,-0.188827759,0.255800616,0.270199871,-1.363020977,-0.051594575,0.193910921,2.332602655,-2.134675939,-0.2871827,0.127342472,0.207191785,0.64343137
20150603,-1.088099541,-0.425638565,-0.599870897,-0.943057302,-0.505417903,0.25412252,-0.265966507,-0.571441614,-0.189846474,-0.497754926,-0.309839937,0.22657428,1.096808023,-0.858582775,-0.45920606,-0.275675941,-0.044855223,-0.003823383
