Date,AUD,CAD,CHF,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,USD,ZAR
20090420,1.44,1.074928865,-0.289131292,0.770276393,-0.796945292,-1.44212231,-0.207600484,-0.264695917,0.554666057,1.127080512,-0.112233446,0.235558048,0.701960962,-0.20915166,-0.410216551,0.945278358,-0.704548936,0.621457819
20090417,-1.037401037,-0.371676956,0.601573346,-0.316169828,-0.583368509,-0.636015326,-1.533132701,-0.564305567,-1.052393346,-1.063232053,-0.700525394,-0.825254841,0.974025974,-0.779470567,-0.779760502,-0.529200529,-1.045771446,-1.777497901
20090416,-0.201612903,-0.812296926,0.178807947,0.39678041,-1.618313292,-0.153022188,0.217381408,-0.063128656,-0.039590521,0.982018156,0.031852206,-0.121313817,0.635066728,-0.267541646,-0.164677702,0.009450903,0.17459956,-1.982569192
20090415,0.718950661,-0.701123038,-0.336611445,-1.054402692,-0.821375953,-1.410575545,0.096263934,-0.193220481,0.597405553,1.623347822,-0.459733672,-0.49907833,0.17517979,-0.472266881,-0.481014814,1.467203682,-0.775836095,1.632694029
20090414,-2.011293358,-1.292258697,-0.714285714,-1.426360018,-4.154181602,-0.360766629,-0.222789299,-0.532703838,-0.056863414,-1.438251366,-0.864372152,-0.410297432,-0.119716364,-1.029287455,-0.131785912,-0.210526316,0.022602275,-0.808913815
20090409,-0.262819138,-0.073439412,0.593276203,0.561516651,0.733649674,0.513711566,-1.336256687,-0.345581347,-1.157823741,-0.383225188,0.457846542,-0.285447339,-0.353292039,0.234250399,0.345533658,-1.149316559,0.317436324,-0.919030004
20090408,-0.379374833,-0.975698443,0.006592392,-0.629799459,-0.593464725,-0.323795181,2.041003164,0.873600874,0.993358688,-0.152187147,0.015790305,0.343308078,0.179260894,0,-0.29984051,-1.108512629,-0.18106375,-0.151844708
20090407,-1.260947557,-0.930595581,-0.511576048,-0.016570924,-1.352113487,-2.367298927,-1.093944539,-0.79168316,0.267501423,0.327182306,-1.753025132,-0.67550216,1.284916201,-1.240401654,-1.222509295,0.706547339,-1.785714286,0.42532497
20090406,0.749481741,-0.048007681,0.072197427,-0.450896294,-0.638068126,1.446897375,-1.669449082,-0.131080687,-0.14208582,-0.195924765,0.326848249,-0.098604149,-0.325751037,0.559322873,0.130402776,-1.011796522,0.52886406,-1.527585003
20090403,0.085119966,-0.364723468,-0.157273919,-0.394347683,0.054312405,0.449505544,0.852503915,-0.240773797,-0.570750452,-1.246882793,0.062295593,-0.016282649,-0.428776048,0.297870228,0.473362778,-1.006231249,0.246415771,-0.612294288
